model,train_size,runs,train_pool_size,test_size,accuracy_mean,accuracy_std,brier_mean,brier_std,final_train_nll_mean,final_train_nll_std,train_time_med,infer_time_med,lbfgs_iterations_med
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,16,500.0,9500.0,0.6629013157894736,0.04288972686273612,0.2680212124477072,0.030583474745058153,4.951835423707962,0.2751869480374231,0.1631157398223877,0.01301109790802002,18.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,16,500.0,9500.0,0.8039671052631578,0.03417211811564649,0.1514275855248423,0.030954539388275013,4.6150901317596436,0.11818418859891025,0.3140205144882202,0.02299952507019043,43.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,16,500.0,9500.0,0.8919802631578947,0.010913660571638938,0.07738646750001643,0.008035655898329285,4.40539675951004,0.08691788456954153,0.34262311458587646,0.06992006301879883,37.5
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,16,500.0,9500.0,0.9100460526315789,0.006458500950971733,0.06426315468898477,0.004664774122677039,4.288935124874115,0.05089093009793132,0.6953525543212891,0.12483429908752441,30.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,16,500.0,9500.0,0.6848947368421052,0.05198393103520138,0.26332199828384606,0.04690928275306687,4.547241508960724,0.1830217107976176,0.5395091772079468,0.04439699649810791,82.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,16,500.0,9500.0,0.7812894736842105,0.032077503097749815,0.17296766805758626,0.029957555993646436,4.571225732564926,0.12275577948548877,0.6350729465484619,0.0844048261642456,85.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,16,500.0,9500.0,0.8735526315789474,0.011292763189834461,0.09287576356811003,0.00884596678007288,4.437134951353073,0.1007721795095159,2.389924645423889,0.24502122402191162,81.0
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,16,500.0,9500.0,0.892625,0.007416730731045966,0.07854403324400183,0.005796548736741107,4.343058288097382,0.061038155049891525,4.354569673538208,0.625815749168396,65.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,16,500.0,9500.0,0.7007763157894737,0.04249964206030358,0.2496964615944714,0.041625363699329045,4.566967993974686,0.2057670170791414,0.43887782096862793,0.01100146770477295,104.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,16,500.0,9500.0,0.7685855263157895,0.032932937117477794,0.1855994210953611,0.031185819073615173,4.58151513338089,0.12647192451571668,0.4558790922164917,0.017420291900634766,93.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,16,500.0,9500.0,0.8493552631578948,0.014017262803760764,0.11434272523902538,0.011089144518362279,4.491054147481918,0.10751672311355638,0.6107097864151001,0.05197608470916748,76.5
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,16,500.0,9500.0,0.8719868421052631,0.009401822970125937,0.09605654385037046,0.007372637602503454,4.414943516254425,0.06542323642571232,0.8290799856185913,0.10154640674591064,60.5
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,16,500.0,9500.0,0.7162894736842105,0.04363836105840068,0.22672774972189627,0.03872742479030537,4.590037792921066,0.16676150359736686,0.42988085746765137,0.008001208305358887,127.5
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,16,500.0,9500.0,0.8131776315789474,0.02090768413217988,0.14107337568821882,0.01813595598932522,4.5279940366744995,0.12161164999255608,0.47211313247680664,0.013270258903503418,91.5
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,16,500.0,9500.0,0.8887105263157895,0.010998027188154885,0.07956520102364281,0.008305587619971291,4.3529137670993805,0.09260782445905896,0.779118537902832,0.04304337501525879,110.0
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,16,500.0,9500.0,0.9088092105263158,0.006660168809331365,0.06479235692220225,0.004919208328927129,4.239833772182465,0.052075690551563344,0.8687053918838501,0.08328986167907715,62.5
TabPFN Classifier (v2 compatibility),50,16,500.0,9500.0,0.7540855263157895,0.03003879839555734,0.16822730242696501,0.016949417091357354,0.2992461263131901,0.11187244984791195,0.12285101413726807,2.624840259552002,
TabPFN Classifier (v2 compatibility),100,16,500.0,9500.0,0.8030921052631579,0.012422769729663047,0.1363602640717792,0.007353865436520504,0.21052766218452404,0.06479905950575139,0.12280070781707764,2.712944984436035,
TabPFN Classifier (v2 compatibility),300,16,500.0,9500.0,0.8759671052631579,0.008831298220241887,0.08743623189488335,0.005427906615192381,0.08895480583069207,0.03239096215351258,0.1324993371963501,3.0004066228866577,
TabPFN Classifier (v2 compatibility),500,16,500.0,9500.0,0.9024210526315789,0.005668203582790177,0.06909514188461341,0.0034247713704328797,0.04873617948497297,0.015811971841672164,0.13152897357940674,3.320931911468506,
TabPFN Classifier (v2.5 default),50,16,500.0,9500.0,0.738703947368421,0.03970459188563926,0.1716894510257068,0.019046317423571938,0.24378950746293837,0.10915893530337663,0.15722548961639404,3.0324273109436035,
TabPFN Classifier (v2.5 default),100,16,500.0,9500.0,0.8014407894736842,0.01701367517971825,0.13709017307926596,0.00993061382135983,0.1580126497633014,0.05927379052515787,0.15809869766235352,3.0108107328414917,
TabPFN Classifier (v2.5 default),300,16,500.0,9500.0,0.8721118421052632,0.009208167617783305,0.08998768118326955,0.005372836208533769,0.0906244986319505,0.027626999750852043,0.2324225902557373,3.177726149559021,
TabPFN Classifier (v2.5 default),500,16,500.0,9500.0,0.8953421052631578,0.00591431585566986,0.07391783489570723,0.003558644103444616,0.06230649416008058,0.016622820638235492,0.16360962390899658,3.5024105310440063,
