model,train_size,runs,train_pool_size,test_size,n_restarts,n_successful_restarts_mean,n_failed_restarts_mean,accuracy_mean,accuracy_std,brier_mean,brier_std,final_train_nll_mean,final_train_nll_std,final_kf_mean,final_kf_std,kf_frac_10_mean,kf_frac_10_std,kf_frac_50_mean,kf_frac_50_std,kf_frac_90_mean,kf_frac_90_std,train_time_med,infer_time_med,lbfgs_iterations_med
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,5,500.0,9500.0,4.0,4.0,0.0,0.6754947368421053,0.06753098806496521,0.25549577306335824,0.06331923242067256,4.957027339935303,0.21619825497714587,0.3334810253313717,0.028049608742365124,0.8887104579203566,0.016079924601309744,0.48621050870928784,0.03250516615853817,0.09846528558637051,0.009358794618164386,0.5070016384124756,0.007652759552001953,20.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,5,500.0,9500.0,4.0,4.0,0.0,0.812021052631579,0.03649941372427871,0.14401925866712628,0.031158296062836998,4.599501419067383,0.09044012992630533,0.6177470531107833,0.04507110602979262,0.8715562071699043,0.018445900915948645,0.43514548732154273,0.05514447888209706,0.0977308200501572,0.05249495307489195,0.9758341312408447,0.01577448844909668,46.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,5,500.0,9500.0,4.0,4.0,0.0,0.8952,0.005634086996851282,0.07413444895339975,0.004344740100635252,4.414993667602539,0.0763692278109063,0.8402356146545988,0.018579087890855214,0.8482377002738755,0.016211522104574543,0.41760627349488344,0.05304970037815671,0.009104453347420613,0.1317468571311506,1.3767166137695312,0.03424191474914551,34.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,5,500.0,9500.0,4.0,4.0,0.0,0.910757894736842,0.004850336253586277,0.06377919054168796,0.003262040614241534,4.290872955322266,0.048990650812364415,0.9035458621431245,0.007993200738313692,0.8583617677654761,0.012820046005720965,0.4518405336692365,0.04775590751868629,0.0736086901461352,0.07127418372917636,2.9504430294036865,0.0662851333618164,30.0
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,5,500.0,9500.0,4.0,4.0,0.0,0.6934526315789474,0.07338368790793726,0.2531843614164034,0.06984431014046523,4.595526695251465,0.13747509728432922,0.2892328051296218,0.05455780847047252,0.8602374278291223,0.033299107563335026,0.4157191783438658,0.06771582367941623,0.06254862627043056,0.03998576499167863,2.022660732269287,0.025020122528076172,99.0
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,5,500.0,9500.0,4.0,4.0,0.0,0.7674736842105263,0.052150272957378487,0.18554858365244914,0.047167770869999764,4.556173801422119,0.12249601068223148,0.6245367567525515,0.0243382390457721,0.8717499951607035,0.00800591801881594,0.4442353411564158,0.027190295724983632,0.08602098569714209,0.024036154324845595,2.1739206314086914,0.04962611198425293,87.0
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,5,500.0,9500.0,4.0,4.0,0.0,0.8796631578947368,0.004749923457613365,0.08771732032403586,0.0028673020718806186,4.4653984069824215,0.07043003275500885,0.8445199082588466,0.003943744613967085,0.8526975253808983,0.0030265494484889104,0.42419611824021713,0.007650099962966771,0.045972600003635775,0.026080781022308028,7.1588053703308105,0.14278602600097656,74.0
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,5,500.0,9500.0,4.0,4.0,0.0,0.8962736842105263,0.006176355593799039,0.07640955410184751,0.005255867554393965,4.353432464599609,0.059584084968034315,0.9051992808127174,0.005177100080295749,0.8607677451285761,0.005779168916352714,0.450695017379852,0.018411514467326983,0.09070068323983141,0.030264686767095005,15.7433602809906,0.22919988632202148,71.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,5,500.0,9500.0,4.0,4.0,0.0,0.7155368421052632,0.06293203474566764,0.2328232554557041,0.059994530073642444,4.602901363372803,0.14709738112878515,0.2998902216999497,0.029449487054864644,0.8665367665297493,0.021554217405556377,0.42259413990820194,0.02715048985232746,0.07561079507448458,0.05673275805807825,1.5489771366119385,0.008161544799804688,118.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,5,500.0,9500.0,4.0,3.8,0.2,0.7475578947368421,0.04071585206548281,0.20565857766197024,0.03604479721251164,4.590921306610108,0.1484104709855453,0.6352610160098814,0.02628001382298019,0.872962805520124,0.007228202159512461,0.44882817434490613,0.028932613249182195,0.11722623030863655,0.0346947451712348,1.437354326248169,0.009734153747558594,94.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,5,500.0,9500.0,4.0,4.0,0.0,0.8579157894736842,0.00905305996538418,0.10756651334619811,0.006505211556877207,4.512249088287353,0.07437545976074245,0.848815878457495,0.006353946934398187,0.8573770008893435,0.005545075218327568,0.423760773750835,0.01807480397389891,0.049523551164151206,0.020595085516903252,1.7693395614624023,0.02434563636779785,50.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,5,500.0,9500.0,4.0,4.0,0.0,0.8760631578947369,0.004860149445395566,0.09379703680226051,0.0039361389766829295,4.427821350097656,0.07636727460278737,0.9085867289514029,0.002741874918155687,0.8639257681072994,0.005486078746350877,0.4491340515145813,0.016884525504242468,0.10351678706281764,0.026160423517201093,3.3046422004699707,0.05056619644165039,60.0
